name;score;url;Background;Body;Clothes;Eyes;Head;Mouth;Nose
PsychoMolly #6508;0.00022856112554430085;https://crypto.com/nft/marketplace?asset=fc8f1f6750a2467aaf1a0d0fdea677d8;Hearts;Tanned;Egyptian Queen;Diamond Eyes;Burger Queen;Pink Yarn;Nose Ring
PsychoMolly #2873;0.0002298311685180724;https://crypto.com/nft/marketplace?asset=292b4afe4a59baf469e982b7d6a3aad2;Hearts;Mint Swirl;K-trix;Triclops;Rainbow Afro;Geisha Lips;Gold Stud
PsychoMolly #8101;0.00023027166498329463;https://crypto.com/nft/marketplace?asset=7b03ac4236caa0535c978bfc77991e87;Hearts;Mint Swirl;Sun Flower Dress;Cyborg;Red Hair;Bitcoin Tab;Sugar Skull Nose
PsychoMolly #4604;0.0002334447050964732;https://crypto.com/nft/marketplace?asset=cd9b261dacfb91847dbc85c74932a4f7;Dots;White Stripes;Gold Angel;Triclops;Blonde Hair;Cig;Sugar Skull Nose
PsychoMolly #7456;0.00023406144262463872;https://crypto.com/nft/marketplace?asset=79e648b2aa6504a350571228fa9e7b89;Dots;Zombie;Hoody;Blue Shadow;Rolos;Tic Toc;Button Nose
PsychoMolly #3247;0.0002370321554367838;https://crypto.com/nft/marketplace?asset=87611fe16f290a3a7e3598a0224a1d89;Sun Down;Pink Stripes;Leather;Geisha Eyes;CDC Red Hair;Sugar Skull Lips;Nose Ring
PsychoMolly #1826;0.00023732729869167072;https://crypto.com/nft/marketplace?asset=aa8c9cf9546c7a5ea42bc11d2d3d341f;Hot Pink;White;Flight Attendant;Red Eyes;Rolos;Ice Cream;Diamond Nose
PsychoMolly #5732;0.00023998328248502299;https://crypto.com/nft/marketplace?asset=f0abafbd631439dc3cef753b224635ea;Sun Down;White Stripes;White Dress;Red Eyes;Gray Hair;Pink Slime;Diamond Nose
PsychoMolly #6487;0.0002454492853882995;https://crypto.com/nft/marketplace?asset=0922a911c40986786bf721ef1eac22ac;Dots;Purple-ish;Gold Pacifier;Cyborg;Flight Attendant;Cig;Sugar Skull Nose
PsychoMolly #6620;0.00024589354772409135;https://crypto.com/nft/marketplace?asset=87c7a899d0cb9f844b62df02f119cbd8;Dots;Polka Dots;Pink Space Suit;Cucumbers;Sugar Skull Rose;Lick;Clown Nose
PsychoMolly #5369;0.00024609529545692536;https://crypto.com/nft/marketplace?asset=74e4b0412ca68486033901c51410f648;Dots;White Stripes;Leather;Diamond Eyes;Purple Hair;Pink Slime;Teal Nose
PsychoMolly #2625;0.0002488168323661767;https://crypto.com/nft/marketplace?asset=79dfec40f9f3c8c18506f8097d694e0d;Dots;Purple-ish;Bad Girl;Blue Shadow;Egyptian Crown;Gold Teeth;Clown Nose
PsychoMolly #3637;0.0002492866539505413;https://crypto.com/nft/marketplace?asset=36207ec91aa19bffe743b608bdee6ac1;Sun Down;Glitter;Angel;9 Ball;Purple Hair;Picante;Clown Nose
